id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.subject[],dc.title[],dc.title[en_US]
"0bb96561-1328-4852-afbb-c8c7b0293aaa","108/45",,"ARDE SPEC 240","2021-06-08T06:50:56Z","2016-11-24T06:07:59Z","2021-06-08T06:50:56Z","2016-11-24T06:07:59Z",,"1978","Made available in DSpace on 2016-11-24T06:07:59Z (GMT). No. of bitstreams: 1
ss00262.pdf: 674944 bytes, checksum: 9a4dc0cb33176aa7d7a6c5a57504c8a4 (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:50:56Z (GMT). No. of bitstreams: 1
ss00262.pdf: 674944 bytes, checksum: 9a4dc0cb33176aa7d7a6c5a57504c8a4 (MD5)
  Previous issue date: 1978","http://localhost:8080/xmlui/handle/108/362","ARDE/SPECN/240||ardedig","CARTRIDGE SUBMERGED EJECTOR SIGNAL WHITE EMPTY",
"0cf82cca-221b-4563-aa63-1ccdc3027929","108/45",,"ARDE PS 2","2021-06-08T06:48:03Z","2016-11-24T06:07:29Z","2021-06-08T06:48:03Z","2016-11-24T06:07:29Z",,,"Made available in DSpace on 2016-11-24T06:07:29Z (GMT). No. of bitstreams: 1
ss00361.pdf: 9089360 bytes, checksum: e5ce9f2bc3f29d8f19f896402c439490 (MD5)||Made available in DSpace on 2021-06-08T06:48:03Z (GMT). No. of bitstreams: 1
ss00361.pdf: 9089360 bytes, checksum: e5ce9f2bc3f29d8f19f896402c439490 (MD5)","http://localhost:8080/xmlui/handle/108/168","ardedig","PRIMER PERCUSSION QF CARTRIDGE NO.13A EMPTY",
"0d0f84ee-1438-4b7e-b47a-6242d8bd3b1b","108/45",,"ARDE SPEC 38","2021-06-08T06:48:56Z","2016-11-24T06:07:37Z","2021-06-08T06:48:56Z","2016-11-24T06:07:37Z",,"1967","Made available in DSpace on 2016-11-24T06:07:37Z (GMT). No. of bitstreams: 1
ss00037.pdf: 8854660 bytes, checksum: b464dd9d88f4010eec329b124be11a43 (MD5)
  Previous issue date: 1967||Made available in DSpace on 2021-06-08T06:48:56Z (GMT). No. of bitstreams: 1
ss00037.pdf: 8854660 bytes, checksum: b464dd9d88f4010eec329b124be11a43 (MD5)
  Previous issue date: 1967","http://localhost:8080/xmlui/handle/108/225","ARDE/SPECN/38||ardedig","CARTRIDGE SA RIFLE GRENADE 7.62MM FOR USE WITH GRENADE RIFLE NO. 36 M W/O GAS CHECK",
"0d20fdca-3a27-4018-8e3f-032bc1bc1036","108/45",,"ARDE SPEC 226(B)","2021-06-08T06:48:36Z","2016-11-24T06:08:07Z","2021-06-08T06:48:36Z","2016-11-24T06:08:07Z",,"1977","Made available in DSpace on 2016-11-24T06:08:07Z (GMT). No. of bitstreams: 1
ss02973.pdf: 27088594 bytes, checksum: c0aaeb5ff3d11fdf00d26db22a98b458 (MD5)
  Previous issue date: 1977||Made available in DSpace on 2021-06-08T06:48:36Z (GMT). No. of bitstreams: 1
ss02973.pdf: 27088594 bytes, checksum: c0aaeb5ff3d11fdf00d26db22a98b458 (MD5)
  Previous issue date: 1977","http://localhost:8080/xmlui/handle/108/412","ARDE/SPECN/226(B)||ardedig","FILLING AND INSPECTION OF PRIMER PERCUSSION NO.YB4 MK.2 ( IN ) QF CARTRIDGES 76.2MM HE / PRACTICE AND FLASH ( FILLED )",
"0d366b8d-9f06-4053-ae7e-f971c1cf2bda","108/45",,"ARDE SPEC 440","2021-06-08T06:47:52Z","2016-11-24T06:07:20Z","2021-06-08T06:47:52Z","2016-11-24T06:07:20Z",,,"Made available in DSpace on 2016-11-24T06:07:20Z (GMT). No. of bitstreams: 1
ss02508.pdf: 2443390 bytes, checksum: 1521938bb7d7ce7d79b391a6b7d726fb (MD5)||Made available in DSpace on 2021-06-08T06:47:52Z (GMT). No. of bitstreams: 1
ss02508.pdf: 2443390 bytes, checksum: 1521938bb7d7ce7d79b391a6b7d726fb (MD5)","http://localhost:8080/xmlui/handle/108/114","ARDE/SPECN/440||ardedig","FUZE T & P NO.213 MK.5 (M.R)",
"0e838a81-8b7f-4579-b70a-f1ac1053e0f7","108/45",,"ARDE SPEC 325  &  326","2021-06-08T06:53:36Z","2016-11-24T06:07:19Z","2021-06-08T06:53:36Z","2016-11-24T06:07:19Z",,"1990","Made available in DSpace on 2016-11-24T06:07:19Z (GMT). No. of bitstreams: 1
ss00098.pdf: 1972630 bytes, checksum: 6aaeaf43ac3acf5e5465c34786f7b232 (MD5)
  Previous issue date: 1990||Made available in DSpace on 2021-06-08T06:53:36Z (GMT). No. of bitstreams: 1
ss00098.pdf: 1972630 bytes, checksum: 6aaeaf43ac3acf5e5465c34786f7b232 (MD5)
  Previous issue date: 1990","http://localhost:8080/xmlui/handle/108/107","ARDE/SPECN/325  &  326||ardedig","EXPLOSIVE BOLT FOR CHETAK HELICOPTER : SPEC TO GOVERN FILLING & INSP ECTION FILLED AND EMPTY ASSEMBLY",
"0eb1d12a-6f71-4dc6-b888-0866d2541031","108/45",,"ARDE SPEC 87","2021-06-08T06:49:29Z","2016-11-24T06:08:09Z","2021-06-08T06:49:29Z","2016-11-24T06:08:09Z",,"1963","Made available in DSpace on 2016-11-24T06:08:09Z (GMT). No. of bitstreams: 1
ss00131.pdf: 9620036 bytes, checksum: 5b74ef806d6b479e3672d60f046e21d1 (MD5)
  Previous issue date: 1963||Made available in DSpace on 2021-06-08T06:49:29Z (GMT). No. of bitstreams: 1
ss00131.pdf: 9620036 bytes, checksum: 5b74ef806d6b479e3672d60f046e21d1 (MD5)
  Previous issue date: 1963","http://localhost:8080/xmlui/handle/108/427","ARDE/SPECN/87||ardedig","CARTRIDGE JETTISONING DROP TANK AND TANK ADAPTER I-20 (IND) FOR MYSTERE A/C (EMPTY)",
"0ed856fd-5a05-462e-8fff-311494048b15","108/45",,"ARDE PS 165","2021-06-08T06:47:55Z","2016-11-24T06:07:22Z","2021-06-08T06:47:55Z","2016-11-24T06:07:22Z",,,"Made available in DSpace on 2016-11-24T06:07:22Z (GMT). No. of bitstreams: 1
ss00474.pdf: 6549711 bytes, checksum: bba608d5050bec4b54d3c891adc6aecc (MD5)||Made available in DSpace on 2021-06-08T06:47:55Z (GMT). No. of bitstreams: 1
ss00474.pdf: 6549711 bytes, checksum: bba608d5050bec4b54d3c891adc6aecc (MD5)","http://localhost:8080/xmlui/handle/108/129","ardedig","TRAINING CARTRIDGE 81MM MORTAR - CHARGE 2",
"0f7e97d6-2c1f-48e1-80b0-325e6df35cae","108/45",,"ARDE SPEC 59  &  ARDE PS 26","2021-06-08T06:50:17Z","2016-11-24T06:08:11Z","2021-06-08T06:50:17Z","2016-11-24T06:08:11Z",,"1969","Made available in DSpace on 2016-11-24T06:08:11Z (GMT). No. of bitstreams: 1
ss00119.pdf: 17181236 bytes, checksum: 3548317981bbbdca1b35007392c4eda5 (MD5)
  Previous issue date: 1969||Made available in DSpace on 2021-06-08T06:50:17Z (GMT). No. of bitstreams: 1
ss00119.pdf: 17181236 bytes, checksum: 3548317981bbbdca1b35007392c4eda5 (MD5)
  Previous issue date: 1969","http://localhost:8080/xmlui/handle/108/440","ARDE/SPECN/59||ardedig","DELAY UNIT ( FIVE SECOND) FOR USE IN SUPPLEMENTARY SAFETY DEVICE USED WITH FUZE M111 A2",
"115f301b-c7f3-49b5-9b40-296b2ff3c742","108/45",,"ARDE SPEC 382","2021-06-08T06:50:09Z","2016-11-24T06:07:19Z","2021-06-08T06:50:09Z","2016-11-24T06:07:19Z",,,"Made available in DSpace on 2016-11-24T06:07:19Z (GMT). No. of bitstreams: 1
ss00357.pdf: 6603721 bytes, checksum: dfe6d5b6fceaa51aa8435ef62f7fa7a5 (MD5)||Made available in DSpace on 2021-06-08T06:50:09Z (GMT). No. of bitstreams: 1
ss00357.pdf: 6603721 bytes, checksum: dfe6d5b6fceaa51aa8435ef62f7fa7a5 (MD5)","http://localhost:8080/xmlui/handle/108/110","ARDE/SPECN/382||ardedig","PIEZOELECTRIC PZT ELEMENT FOR 125MM HEAT SHELL T-72 AND 73MM HEAT ROCKET PROJECTILE OF BMP-I",
"1192350a-e07e-428e-978b-0b3d9af271d8","108/45",,"ARDE SPEC 294","2021-06-08T06:49:29Z","2016-11-24T06:07:44Z","2021-06-08T06:49:29Z","2016-11-24T06:07:44Z",,,"Made available in DSpace on 2016-11-24T06:07:44Z (GMT). No. of bitstreams: 1
ss00307.pdf: 16702956 bytes, checksum: 84e9e89ff87ef35fa7d9f087510758ca (MD5)||Made available in DSpace on 2021-06-08T06:49:29Z (GMT). No. of bitstreams: 1
ss00307.pdf: 16702956 bytes, checksum: 84e9e89ff87ef35fa7d9f087510758ca (MD5)","http://localhost:8080/xmlui/handle/108/269","ARDE/SPECN/294||ardedig","FUZE PROXIMITY FOR 76.2MM GUN SAFETY & DELAYED ARMING MECHANISM EMPTY",
"119fe73d-c715-4ff0-8fad-3f0ed642fa7f","108/45",,"ARDE PS 62","2021-06-08T06:49:33Z","2016-11-24T06:07:42Z","2021-06-08T06:49:33Z","2016-11-24T06:07:42Z",,"1973","Made available in DSpace on 2016-11-24T06:07:42Z (GMT). No. of bitstreams: 1
ss00391.pdf: 5728009 bytes, checksum: 9864eddfc7ede59770e587c015052a09 (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:49:33Z (GMT). No. of bitstreams: 1
ss00391.pdf: 5728009 bytes, checksum: 9864eddfc7ede59770e587c015052a09 (MD5)
  Previous issue date: 1973","http://localhost:8080/xmlui/handle/108/254","ardedig","CARTRIDGE SEAT EJECTION GUILLOTINE NO.2 MK.2 FOR HF-24 AND HJT-16 AIRCRAFT EMPTY",
"1220e597-a649-4998-a4d7-368c061d0762","108/45",,"ARDE SPEC 257","2021-06-08T06:49:06Z","2016-11-24T06:07:39Z","2021-06-08T06:49:06Z","2016-11-24T06:07:39Z",,,"Made available in DSpace on 2016-11-24T06:07:39Z (GMT). No. of bitstreams: 1
ss00273.pdf: 26377511 bytes, checksum: 0641cb5205069eb63a6395e9ec803ee1 (MD5)||Made available in DSpace on 2021-06-08T06:49:06Z (GMT). No. of bitstreams: 1
ss00273.pdf: 26377511 bytes, checksum: 0641cb5205069eb63a6395e9ec803ee1 (MD5)","http://localhost:8080/xmlui/handle/108/236","ARDE/SPECN/257||ardedig","CARTRIDGE ELECTRIC FIRE EXTINGUISHER FOR PACKET, CARIBOU AND DAKOTA AIRCRAFT FILLED",
