id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
"0e06ef7d-5ad0-4910-bf4c-851c8aef6e4b","108/2",,"2021-04-07T08:50:20Z","2016-12-08T10:50:20Z","2021-04-07T08:50:20Z","2016-12-08T10:50:20Z","2010-12",,"Made available in DSpace on 2016-12-08T10:50:20Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 9b0ca670c49e3f9df7c5dbca02b9f8eb (MD5)
defence technology.pdf: 12510 bytes, checksum: 683b00fba98158a6fb18a2676e601e38 (MD5)
  Previous issue date: 2010-12||Made available in DSpace on 2021-04-07T08:50:20Z (GMT). No. of bitstreams: 2
defence technology.pdf: 12510 bytes, checksum: 683b00fba98158a6fb18a2676e601e38 (MD5)
license.txt: 1831 bytes, checksum: 9b0ca670c49e3f9df7c5dbca02b9f8eb (MD5)
  Previous issue date: 2010-12","The Econonomics Times, 31 December 2010",,,"http://localhost:8080/xmlui/handle/108/84546","en",,"The Economics Times",,"DTC||Defence Technology Commisssion",,,"Defence Technology Commission to be functional next year",,"Article",
"1504e6a6-fe64-478c-9b4e-54bcd32a0f03","108/2","Shukla, Ajai","2021-04-07T08:50:22Z","2016-12-08T10:50:19Z","2021-04-07T08:50:22Z","2016-12-08T10:50:19Z","2013-11",,"Made available in DSpace on 2016-12-08T10:50:19Z (GMT). No. of bitstreams: 2
drdoindustry.pdf: 77802 bytes, checksum: ae20627215b76cf56ca1ecff31e49d8d (MD5)
license.txt: 1831 bytes, checksum: 8725be7818ccb48a7787a4bffd0d6b32 (MD5)
  Previous issue date: 2013-11||Made available in DSpace on 2021-04-07T08:50:22Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 8725be7818ccb48a7787a4bffd0d6b32 (MD5)
drdoindustry.pdf: 77802 bytes, checksum: ae20627215b76cf56ca1ecff31e49d8d (MD5)
  Previous issue date: 2013-11",,,,"http://localhost:8080/xmlui/handle/108/84543","en_US",,"The Business Standard",,"India||DRDO||Defence Industry||Defence Policy",,,"Signs of change in India’s Defence Industrial Base",,"Article",
"1521f988-ebee-4860-ba2f-b10a5050feed","108/2","Times Of India","2021-04-07T08:50:27Z","2020-01-13T06:44:57Z","2021-04-07T08:50:27Z","2020-01-13T06:44:57Z","2020-01-13",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-01-13T06:44:57Z
No. of bitstreams: 1
TH0001.pdf: 220003 bytes, checksum: 498326a198608d8970e739625aa13d3f (MD5)||Made available in DSpace on 2020-01-13T06:44:57Z (GMT). No. of bitstreams: 1
TH0001.pdf: 220003 bytes, checksum: 498326a198608d8970e739625aa13d3f (MD5)
  Previous issue date: 2020-01-13||Made available in DSpace on 2021-04-07T08:50:27Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
TH0001.pdf: 220003 bytes, checksum: 498326a198608d8970e739625aa13d3f (MD5)
  Previous issue date: 2020-01-13",,,,"http://localhost:8080/xmlui/handle/108/156383",,"en_US",,"The Times Of India",,"Smart Bomb||Futuristic Weapon||guided artillery ammunition",,,"Smart bombs, futuristic . combat vehicle in pipeline: OFB head",,
"15a97900-6b5d-4268-800b-4c9cf4c9bb5b","108/2","Express News","2021-04-07T08:49:25Z","2016-12-08T10:50:31Z","2021-04-07T08:49:25Z","2016-12-08T10:50:31Z","2011-05-12",,"Made available in DSpace on 2016-12-08T10:50:31Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 451492268a52f0513dcc61ff8a6739d4 (MD5)
ie-12.PDF: 353393 bytes, checksum: b866c7268d26c0e76bef374c16bca0e5 (MD5)
  Previous issue date: 2011-05-12||Made available in DSpace on 2021-04-07T08:49:25Z (GMT). No. of bitstreams: 2
ie-12.PDF: 353393 bytes, checksum: b866c7268d26c0e76bef374c16bca0e5 (MD5)
license.txt: 1831 bytes, checksum: 451492268a52f0513dcc61ff8a6739d4 (MD5)
  Previous issue date: 2011-05-12",,"The Indian Express, Pune, 12 May 2011",,"http://localhost:8080/xmlui/handle/108/84642","en",,,,"Military Power||India||Technology day||Saraswat",,,"Can do an Abbottabad, but it is against our values: Saraswat",,"Article",
"15e3d6b6-38af-448d-88b3-43ccc63b23ff","108/2","Shukla, Ajai","2021-04-07T08:49:39Z","2016-12-08T10:50:27Z","2021-04-07T08:49:39Z","2016-12-08T10:50:27Z","2011-03-16",,"Made available in DSpace on 2016-12-08T10:50:27Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: ce367c4c33b2056b379c3fc5edd1b236 (MD5)
innovation.pdf: 15163 bytes, checksum: ad581267e8887769d8090790437c6b87 (MD5)
  Previous issue date: 2011-03-16||Made available in DSpace on 2021-04-07T08:49:39Z (GMT). No. of bitstreams: 2
innovation.pdf: 15163 bytes, checksum: ad581267e8887769d8090790437c6b87 (MD5)
license.txt: 1831 bytes, checksum: ce367c4c33b2056b379c3fc5edd1b236 (MD5)
  Previous issue date: 2011-03-16",,,,"http://localhost:8080/xmlui/handle/108/84607","en",,,,"Explosives||Detector||Bioexplorers",,,"Innovation Track: Detecting explosives at the click... er, sniff... of a mouse",,"Article",
"15ef1c0a-f87c-4a98-8843-6f86dc3eade8","108/2",,"2021-04-07T08:49:42Z","2016-12-08T10:50:27Z","2021-04-07T08:49:42Z","2016-12-08T10:50:27Z","2012-08-13",,"Made available in DSpace on 2016-12-08T10:50:27Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: e431ba4ea125a48af7446c4efa9cfeb6 (MD5)
newoffset.pdf: 24239 bytes, checksum: ddc806cce7c21a101b1c5b196522b3da (MD5)
  Previous issue date: 2012-08-13||Made available in DSpace on 2021-04-07T08:49:42Z (GMT). No. of bitstreams: 2
newoffset.pdf: 24239 bytes, checksum: ddc806cce7c21a101b1c5b196522b3da (MD5)
license.txt: 1831 bytes, checksum: e431ba4ea125a48af7446c4efa9cfeb6 (MD5)
  Previous issue date: 2012-08-13",,,,"http://localhost:8080/xmlui/handle/108/84600","en",,"Financial Express, 24 July 2012",,"Defence acquisition council||DAC||Offsets Management Agency||Offset Facilitation Agency",,,"Amendments to Defence Offsets Policy cleared",,"Article",
"167d9d4c-a14c-4f35-bfeb-1de8961e4d87","108/2","Unithan, Sandeep","2021-04-07T08:50:23Z","2016-12-08T10:50:19Z","2021-04-07T08:50:23Z","2016-12-08T10:50:19Z",,,"Made available in DSpace on 2016-12-08T10:50:19Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: ea9223500f1b86b1d105066e328dd36d (MD5)
why Indian army.pdf: 67218 bytes, checksum: bd04d4b3688bdd1332eb12ebd94497c0 (MD5)||Made available in DSpace on 2021-04-07T08:50:23Z (GMT). No. of bitstreams: 2
why Indian army.pdf: 67218 bytes, checksum: bd04d4b3688bdd1332eb12ebd94497c0 (MD5)
license.txt: 1831 bytes, checksum: ea9223500f1b86b1d105066e328dd36d (MD5)",,,,"http://localhost:8080/xmlui/handle/108/84542",,,,,"Assault rifle||INSAS||MCAR||Multi-Caliber Assault Rifles||Defence procurement",,,"Why Indian Army has only itself to blame for assault rifle fiasco",,,
"16ff41ea-ef9c-4f92-a49d-3cd82b935820","108/2","Shukla, Ajay","2021-04-07T08:50:49Z","2018-04-19T08:44:13Z","2021-04-07T08:50:49Z","2018-04-19T08:44:13Z","2018-04-13",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2018-04-19T08:44:13Z
No. of bitstreams: 1
Untitled 5.pdf: 45268 bytes, checksum: add5b19fb3b747c2115d9dac2d7bc116 (MD5)||Made available in DSpace on 2018-04-19T08:44:13Z (GMT). No. of bitstreams: 1
Untitled 5.pdf: 45268 bytes, checksum: add5b19fb3b747c2115d9dac2d7bc116 (MD5)
  Previous issue date: 2018-04-13||Made available in DSpace on 2021-04-07T08:50:49Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
Untitled 5.pdf: 45268 bytes, checksum: add5b19fb3b747c2115d9dac2d7bc116 (MD5)
  Previous issue date: 2018-04-13",,,,"http://localhost:8080/xmlui/handle/108/153369",,,,"Bussiness Standards",,"Defexpo 2018||Defence industry||Make in India||BPJ","Modi also attended demonstraion by the seashore of army ,navy and airforce indigenous equipment",,"Modi points to green shoots,claims, ''humble begining'' in building defence industry",,
"1755eb04-135c-4dc8-8d63-67b9f75b86a9","108/2","ANI","2021-04-07T08:49:30Z","2020-10-15T08:37:31Z","2021-04-07T08:49:30Z","2020-10-15T08:37:31Z","2020-10-06",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-10-15T08:37:31Z
No. of bitstreams: 1
06.10.2020.pdf: 224754 bytes, checksum: 26dd567e73050f999b1889dab3bf8170 (MD5)||Made available in DSpace on 2020-10-15T08:37:31Z (GMT). No. of bitstreams: 1
06.10.2020.pdf: 224754 bytes, checksum: 26dd567e73050f999b1889dab3bf8170 (MD5)
  Previous issue date: 2020-10-06||Made available in DSpace on 2021-04-07T08:49:30Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
06.10.2020.pdf: 224754 bytes, checksum: 26dd567e73050f999b1889dab3bf8170 (MD5)
  Previous issue date: 2020-10-06",,,,"http://localhost:8080/xmlui/handle/108/173106",,,,,,"LMG||Sig-Sauer assault rifles",,,"New lot of American-origin Sig-Sauer assault rifles to be for troops deployed on China border",,"Article"
"18466582-d4f7-4aea-85d2-8827785143f8","108/2","Peri, Dinakar","2021-04-07T08:51:16Z","2017-11-23T09:30:51Z","2021-04-07T08:51:16Z","2017-11-23T09:30:51Z","2017-11-23",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-11-23T09:30:50Z
No. of bitstreams: 1
the hindu23nov20170001.pdf: 4417285 bytes, checksum: 1f935668c77de957e3173904cc3b574d (MD5)||Made available in DSpace on 2017-11-23T09:30:51Z (GMT). No. of bitstreams: 1
the hindu23nov20170001.pdf: 4417285 bytes, checksum: 1f935668c77de957e3173904cc3b574d (MD5)
  Previous issue date: 2017-11-23||Made available in DSpace on 2021-04-07T08:51:16Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
the hindu23nov20170001.pdf: 4417285 bytes, checksum: 1f935668c77de957e3173904cc3b574d (MD5)
  Previous issue date: 2017-11-23",,,"The Hindu,23 Nov 2017","http://localhost:8080/xmlui/handle/108/151653",,,,,,"BrahMos||Supersonic missile||DRDO||SU-30 mk I aircraft||Air-to-surface cruise missile",,,"In a first, air-launched BrahMos missile test-fired",,
"1a1efe3c-7156-412b-a8e2-1c5a1431e74f","108/2","News Service","2021-04-07T08:51:08Z","2017-12-05T11:18:35Z","2021-04-07T08:51:08Z","2017-12-05T11:18:35Z","2017-12-05",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-12-05T11:18:35Z
No. of bitstreams: 1
news 5 dec 20170001.pdf: 2203048 bytes, checksum: 5549ff2183e869705d4ac7db114ba634 (MD5)||Made available in DSpace on 2017-12-05T11:18:35Z (GMT). No. of bitstreams: 1
news 5 dec 20170001.pdf: 2203048 bytes, checksum: 5549ff2183e869705d4ac7db114ba634 (MD5)
  Previous issue date: 2017-12-05||Made available in DSpace on 2021-04-07T08:51:08Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news 5 dec 20170001.pdf: 2203048 bytes, checksum: 5549ff2183e869705d4ac7db114ba634 (MD5)
  Previous issue date: 2017-12-05",,,"Navbharat, 05 Dec 2017","http://localhost:8080/xmlui/handle/108/151797",,,,,,"Ministry of Defence||Make In India||DRDO||AAKASH||Anti Tank Guided Missile",,,"Raksha Mantralaya Ne bachaye 1 Lakh Crore",,
"1a534731-2293-46aa-8fbc-4a6f8923de94","108/2","The Economist News Paper Limited","2021-04-07T08:50:58Z","2018-01-30T05:45:09Z","2021-04-07T08:50:58Z","2018-01-30T05:45:09Z","2018-01-30",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2018-01-30T05:45:09Z
No. of bitstreams: 1
Military robotics.pdf: 1467690 bytes, checksum: e3c49c2d4af9028f122cc949a713ccb1 (MD5)||Made available in DSpace on 2018-01-30T05:45:09Z (GMT). No. of bitstreams: 1
Military robotics.pdf: 1467690 bytes, checksum: e3c49c2d4af9028f122cc949a713ccb1 (MD5)
  Previous issue date: 2018-01-30||Made available in DSpace on 2021-04-07T08:50:58Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
Military robotics.pdf: 1467690 bytes, checksum: e3c49c2d4af9028f122cc949a713ccb1 (MD5)
  Previous issue date: 2018-01-30",,,,"http://localhost:8080/xmlui/handle/108/152204",,"en_US",,"The Indian Express",,"Military Robotics,||Artificial Intelligents||Big-data analysis||Electronic Warfare||Cyber Attacks",,,"Military Robotics War at Hyperspeed Getting to grips with military robotics",,"Article"
"1b9a54e4-1fec-4ee3-b4e8-68aaeda5ba8a","108/2","Hindusstan Times","2021-04-07T08:49:44Z","2020-10-15T08:27:13Z","2021-04-07T08:49:44Z","2020-10-15T08:27:13Z","2020-10-09",,"Submitted by NEERAJ KUMAR AGRAHARI (nkagrahari@arde.org) on 2020-10-15T08:27:13Z
No. of bitstreams: 1
09.10.20.pdf: 224780 bytes, checksum: 726a844e6676c9042fd35f3bd78c8450 (MD5)||Made available in DSpace on 2020-10-15T08:27:13Z (GMT). No. of bitstreams: 1
09.10.20.pdf: 224780 bytes, checksum: 726a844e6676c9042fd35f3bd78c8450 (MD5)
  Previous issue date: 2020-10-09||Made available in DSpace on 2021-04-07T08:49:44Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
09.10.20.pdf: 224780 bytes, checksum: 726a844e6676c9042fd35f3bd78c8450 (MD5)
  Previous issue date: 2020-10-09",,,,"http://localhost:8080/xmlui/handle/108/173103",,"en_US",,":https://idrw.org/russia-offers-india-winter-clothing-and-sprut-light-weight-tanks-with-a-t90-barrel-for-ladakh-stand-off/",,"T-90||Light Weight Tank",,,"Russia offers India winter clothing and Sprut light weight tanks with a T-90 barrel for Ladakh stand-off",,
"1be5a22d-a6ba-4276-93e8-3d311839d6f4","108/2","Raghava, M","2021-04-07T08:49:41Z","2016-12-08T10:50:27Z","2021-04-07T08:49:41Z","2016-12-08T10:50:27Z","2010-10-11",,"Made available in DSpace on 2016-12-08T10:50:27Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 6461ec2ff2444ee0d2dc004ebdcc3c3b (MD5)
os.pdf: 12974 bytes, checksum: d6242e63d03a43e1481b4ebb24f109dc (MD5)
  Previous issue date: 2010-10-11||Made available in DSpace on 2021-04-07T08:49:41Z (GMT). No. of bitstreams: 2
os.pdf: 12974 bytes, checksum: d6242e63d03a43e1481b4ebb24f109dc (MD5)
license.txt: 1831 bytes, checksum: 6461ec2ff2444ee0d2dc004ebdcc3c3b (MD5)
  Previous issue date: 2010-10-11","The Hindu, Bangalore, 11 October 2010",,,"http://localhost:8080/xmlui/handle/108/84603","en",,,,"S&T||Operating system||DRDO",,,"Saraswat: DRDO working on India's own computer operating system",,"Article",
