id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.publisher[en_US],dc.subject[],dc.title[],dc.title[en_US]
"be3372c4-5321-469f-af57-231c8059acbe","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Introduction","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0003971.pdf: 751010 bytes, checksum: f5178fcbd201253b34d8cf6ef4096095 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0003971.pdf: 751010 bytes, checksum: f5178fcbd201253b34d8cf6ef4096095 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34028",,"ASM HB Volume 14A||Introduction","Introduction to Bulk-Forming Processes",
"0288115d-61ef-4145-bbd2-019738e26f62","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:44Z","2016-12-06T04:04:59Z","2021-05-11T09:02:44Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001014.pdf: 1576864 bytes, checksum: 495a737467d1198d678c9f82d2dd24cc (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0001014.pdf: 1576864 bytes, checksum: 495a737467d1198d678c9f82d2dd24cc (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34021",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Hot-Rolled Steel Bars and Shapes",
"1cb1f62f-af30-45be-9f7f-90bd2fe4420a","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:44Z","2016-12-06T04:04:59Z","2021-05-11T09:02:44Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001025.pdf: 2199055 bytes, checksum: 61db86f48e14b5eadef446af6edbc026 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0001025.pdf: 2199055 bytes, checksum: 61db86f48e14b5eadef446af6edbc026 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34019",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","High-Strength Structural and High-Strength Low-Alloy Steels",
"c18738b1-129b-434c-8290-b1874e5d634f","108/22","ASM HB Volume 11 : Failure Analysis and Prevention : Tools and Techniques in Failure Analysis","2021-05-11T09:02:44Z","2016-12-06T04:03:50Z","2021-05-11T09:02:44Z","2016-12-06T04:03:50Z","2010","Made available in DSpace on 2016-12-06T04:03:50Z (GMT). No. of bitstreams: 1
asmhba0003524.pdf: 411216 bytes, checksum: d9f5f964352b11b10d6868d878ead163 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0003524.pdf: 411216 bytes, checksum: d9f5f964352b11b10d6868d878ead163 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/33138",,"ASM HB Volume 11||Tools and Techniques in Failure Analysis","Practices in Failure Analysis",
"a8df9ad2-3e40-48b5-9fba-2f3a09a6341a","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Cold Heading and Cold Extrusion","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0004004.pdf: 2121343 bytes, checksum: daf557703962c7245562bdf8e3cd9dda (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0004004.pdf: 2121343 bytes, checksum: daf557703962c7245562bdf8e3cd9dda (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34023",,"ASM HB Volume 14A||Cold Heading and Cold Extrusion","Cold Heading",
"b0067a51-c6cd-4706-a864-a259aa8932b8","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2021-05-11T09:02:44Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001010.pdf: 718470 bytes, checksum: c450531cbd231e7df008ab34765a9268 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:44Z (GMT). No. of bitstreams: 1
asmhba0001010.pdf: 718470 bytes, checksum: c450531cbd231e7df008ab34765a9268 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34030",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Physical Properties of Carbon and Low-Alloy Steels",
"76e71aee-b3ac-402a-a789-99652bc659f3","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Modeling and Computer Aided Process Design for Bulk Forming","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0004025.pdf: 1039876 bytes, checksum: de17b1d5bcd559eda93b1e7d19664fd6 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:45Z (GMT). No. of bitstreams: 1
asmhba0004025.pdf: 1039876 bytes, checksum: de17b1d5bcd559eda93b1e7d19664fd6 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34025",,"ASM HB Volume 14A||Modeling and Computer Aided Process Design for Bulk Forming","Workpiece Materials Database",
"e9e8ca26-ffe3-4c52-b8cc-0b0397de1f5c","108/22","ASM Handbook Volume 3 : Alloy Phase Diagrams  : Binary Phase Diagrams","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0000835.pdf: 271508 bytes, checksum: 002f91c34b16d52b93c260d4a6fb6ad6 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:45Z (GMT). No. of bitstreams: 1
asmhba0000835.pdf: 271508 bytes, checksum: 002f91c34b16d52b93c260d4a6fb6ad6 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34027",,"ASM HB Volume 3||Binary Phase Diagrams","Mn (Manganese) Binary Alloy Phase Diagrams",
"91c18bd2-832f-4aea-bfcb-d8e7a3cac3fc","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:45Z","2016-12-06T04:04:59Z","2021-05-11T09:02:45Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001026.pdf: 898053 bytes, checksum: b166200dc0b970eb95531f8e16666abe (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:45Z (GMT). No. of bitstreams: 1
asmhba0001026.pdf: 898053 bytes, checksum: b166200dc0b970eb95531f8e16666abe (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34022",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Dual-Phase Steels",
"d3764948-6ff6-423b-8d0a-1bd29f29e8bd","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Other Bulk Forming Processes","2021-05-11T09:02:45Z","2016-12-06T04:04:59Z","2021-05-11T09:02:45Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0004014.pdf: 927618 bytes, checksum: b6d3c0609da4129b3b923f606632d8e5 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:45Z (GMT). No. of bitstreams: 1
asmhba0004014.pdf: 927618 bytes, checksum: b6d3c0609da4129b3b923f606632d8e5 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34020",,"ASM HB Volume 14A||Other Bulk Forming Processes","Flow Forming",
"29d27694-de0e-426a-83b6-b456a0278a83","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2021-05-11T09:02:45Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001019.pdf: 1982297 bytes, checksum: fb664c82f49b9c84edc6b506a66436a4 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:45Z (GMT). No. of bitstreams: 1
asmhba0001019.pdf: 1982297 bytes, checksum: fb664c82f49b9c84edc6b506a66436a4 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34029",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Steel Springs",
"79263608-70ae-4a41-b790-f7df4c854b7e","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Specialty Steels and Heat-Resistant Alloys","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001047.pdf: 1707768 bytes, checksum: af8ac5e4d8def742d18bb9d2a40c2746 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:46Z (GMT). No. of bitstreams: 1
asmhba0001047.pdf: 1707768 bytes, checksum: af8ac5e4d8def742d18bb9d2a40c2746 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34032",,"ASM HB Volume 1||Specialty Steels and Heat-Resistant Alloys","Cast Stainless Steels",
"4df47ce8-f124-46a4-9601-82496ee07029","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Forging Processes","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0003983.pdf: 1586718 bytes, checksum: 0f8c6b119372b9c826698ea31c04d569 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:46Z (GMT). No. of bitstreams: 1
asmhba0003983.pdf: 1586718 bytes, checksum: 0f8c6b119372b9c826698ea31c04d569 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34031",,"ASM HB Volume 14A||Forging Processes","Rotary Swaging of Bars and Tubes",
"e8283e57-d076-4f51-ab1c-1e5591debe83","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001023.pdf: 1782475 bytes, checksum: 07e0dde4e7a463e7b6382a1827002e3e (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:46Z (GMT). No. of bitstreams: 1
asmhba0001023.pdf: 1782475 bytes, checksum: 07e0dde4e7a463e7b6382a1827002e3e (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34024",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Steel Castings",
"dbd900b3-e3a7-4630-b047-59112cc2f0e5","108/22","ASM Handbook Volume 3 : Alloy Phase Diagrams  : Binary Phase Diagrams","2021-05-11T09:02:46Z","2016-12-06T04:03:50Z","2021-05-11T09:02:46Z","2016-12-06T04:03:50Z","2010","Made available in DSpace on 2016-12-06T04:03:50Z (GMT). No. of bitstreams: 1
asmhba0000855.pdf: 61892 bytes, checksum: bf42a6207d15bb3bcc2c7eea6477bf95 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:46Z (GMT). No. of bitstreams: 1
asmhba0000855.pdf: 61892 bytes, checksum: bf42a6207d15bb3bcc2c7eea6477bf95 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/33139",,"ASM HB Volume 3||Binary Phase Diagrams","S (Sulfur) Binary Alloy Phase Diagrams",
"f86805d1-4aac-4c57-b883-b0e88df5f536","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Modeling and Computer Aided Process Design for Bulk Forming","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2021-05-11T09:02:46Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0004029.pdf: 1265977 bytes, checksum: 23f085249a703bfcb81c23665048d093 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:46Z (GMT). No. of bitstreams: 1
asmhba0004029.pdf: 1265977 bytes, checksum: 23f085249a703bfcb81c23665048d093 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34033",,"ASM HB Volume 14A||Modeling and Computer Aided Process Design for Bulk Forming","Transformation and Recrystallization Textures Associated with Steel Processing",
"e7bee98d-4973-410f-88d2-a6d166c6619d","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001016.pdf: 741248 bytes, checksum: df978f580de06fdb77de55e63df4f4d6 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:47Z (GMT). No. of bitstreams: 1
asmhba0001016.pdf: 741248 bytes, checksum: df978f580de06fdb77de55e63df4f4d6 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34034",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Steel Wire Rod",
"824723ac-43f4-49f8-8c38-8713bf4fa780","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Forging of Nonferrous Metals","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0004003.pdf: 1033503 bytes, checksum: 59164db63a75b36ceac6fc9cf73c2b96 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:47Z (GMT). No. of bitstreams: 1
asmhba0004003.pdf: 1033503 bytes, checksum: 59164db63a75b36ceac6fc9cf73c2b96 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34035",,"ASM HB Volume 14A||Forging of Nonferrous Metals","Thermomechanical Processes for Nonferrous Alloys",
"9faa51eb-eead-424c-8650-b200b864ea5a","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2021-05-11T09:02:47Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001018.pdf: 1524015 bytes, checksum: 759affffab228d02d70bb47089ffd2b6 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:47Z (GMT). No. of bitstreams: 1
asmhba0001018.pdf: 1524015 bytes, checksum: 759affffab228d02d70bb47089ffd2b6 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34036",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Threaded Steel Fasteners",
"4faf098e-0f21-4e82-a11f-472b4b22d0b3","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Hardenability of Carbon and Low-Alloy Steels","2021-05-11T09:02:47Z","2016-12-06T04:05:01Z","2021-05-11T09:02:47Z","2016-12-06T04:05:01Z","2010","Made available in DSpace on 2016-12-06T04:05:01Z (GMT). No. of bitstreams: 1
asmhba0001029.pdf: 2071449 bytes, checksum: 6247e2b383ec0a05351ff4f070d24828 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:47Z (GMT). No. of bitstreams: 1
asmhba0001029.pdf: 2071449 bytes, checksum: 6247e2b383ec0a05351ff4f070d24828 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34037",,"ASM HB Volume 1||Hardenability of Carbon and Low-Alloy Steels","Hardenability of Carbon and Low-Alloy Steels",
"ac8732ac-a0e7-4de1-b63c-71927bc5f28c","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Other Bulk Forming Processes","2021-05-11T09:02:48Z","2016-12-06T04:05:01Z","2021-05-11T09:02:48Z","2016-12-06T04:05:01Z","2010","Made available in DSpace on 2016-12-06T04:05:01Z (GMT). No. of bitstreams: 1
asmhba0004009.pdf: 1743926 bytes, checksum: 3552621e8009e8ae825b7ddc92a3b2b9 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:48Z (GMT). No. of bitstreams: 1
asmhba0004009.pdf: 1743926 bytes, checksum: 3552621e8009e8ae825b7ddc92a3b2b9 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34038",,"ASM HB Volume 14A||Other Bulk Forming Processes","Flat, Bar, and Shape Rolling",
"2d372057-7ac1-4fd1-9dab-deab08289ab6","108/22","ASM Handbook Volume 3 : Alloy Phase Diagrams  : Binary Phase Diagrams","2021-05-11T09:02:48Z","2016-12-06T04:05:01Z","2021-05-11T09:02:48Z","2016-12-06T04:05:01Z","2010","Made available in DSpace on 2016-12-06T04:05:01Z (GMT). No. of bitstreams: 1
asmhba0000814.pdf: 380819 bytes, checksum: 3643c2e68ec6f6693d5694eb0821279a (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:48Z (GMT). No. of bitstreams: 1
asmhba0000814.pdf: 380819 bytes, checksum: 3643c2e68ec6f6693d5694eb0821279a (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34039",,"ASM HB Volume 3||Binary Phase Diagrams","Cr (Chromium) Binary Alloy Phase Diagrams",
